N,P,K,temperature,humidity,Soil Moisture,rainfall,label,Term
90,42,43,20.87974371,82.00274423,1024,202.9355362,rice,Long-term
85,58,41,21.77046169,80.31964408,1014,226.6555374,rice,Long-term
60,55,44,23.00445915,82.3207629,1010,263.9642476,rice,Long-term
74,35,40,26.49109635,80.15836264,1011,242.8640342,rice,Long-term
78,42,42,20.13017482,81.60487287,1025,262.7173405,rice,Long-term
69,37,42,23.05804872,83.37011772,1026,251.0549998,rice,Long-term
69,55,38,22.70883798,82.63941394,1027,271.3248604,rice,Long-term
94,53,40,20.27774362,82.89408619,1026,241.9741949,rice,Long-term
89,54,38,24.51588066,83.5352163,1026,230.4462359,rice,Long-term
68,58,38,23.22397386,83.03322691,1026,221.2091958,rice,Long-term
91,53,40,26.52723513,81.41753846,1018,264.6148697,rice,Long-term
90,46,42,23.97898217,81.45061596,1019,250.0832336,rice,Long-term
78,58,44,26.80079604,80.88684822,1024,284.4364567,rice,Long-term
93,56,36,24.01497622,82.05687182,1024,185.2773389,rice,Long-term
94,50,37,25.66585205,80.66385045,1023,209.5869708,rice,Long-term
60,48,39,24.28209415,80.30025587,1024,231.0863347,rice,Long-term
85,38,41,21.58711777,82.7883708,1026,276.6552459,rice,Long-term
91,35,39,23.79391957,80.41817957,1026,206.2611855,rice,Long-term
77,38,36,21.8652524,80.1923008,1026,224.5550169,rice,Long-term
88,35,40,23.57943626,83.58760316,1027,291.2986618,rice,Long-term
89,45,36,21.32504158,80.47476396,1027,185.4974732,rice,Long-term
76,40,43,25.15745531,83.11713476,1027,231.3843163,rice,Long-term
67,59,41,21.94766735,80.97384195,1024,213.3560921,rice,Long-term
83,41,43,21.0525355,82.67839517,1024,233.1075816,rice,Long-term
98,47,37,23.48381344,81.33265073,1024,224.0581164,rice,Long-term
66,53,41,25.0756354,80.52389148,1024,257.0038865,rice,Long-term
97,59,43,26.35927159,84.04403589,1024,271.3586137,rice,Long-term
97,50,41,24.52922681,80.54498576,1024,260.2634026,rice,Long-term
